date,temperature,dewPoint,humidity,windSpeed,pressure,precipitation
2021-11-01,56.4,38.5,38.5,53.4,7.6,0.0
2021-11-02,48.8,41.6,41.6,76.4,5.6,0.0
2021-11-03,46.4,31.1,31.1,58.3,6.5,0.1
2021-11-04,45.9,31.1,31.1,58.2,4.5,0.0
2021-11-05,45.4,28.5,28.5,54.3,6.2,0.0
2021-11-06,46.0,32.8,32.8,62.3,6.8,0.0
2021-11-07,48.6,33.7,33.7,59.1,8.1,0.0
2021-11-08,55.0,38.3,38.3,55.5,7.8,0.0
2021-11-09,53.9,41.5,41.5,62.7,3.0,0.0
2021-11-10,60.6,45.9,45.9,61.6,3.9,0.0
2021-11-11,58.0,50.0,50.0,75.2,7.5,0.0
2021-11-12,60.5,51.5,51.5,74.2,9.7,0.56
2021-11-13,48.3,35.3,35.3,63.2,7.8,0.08
2021-11-14,42.6,28.3,28.3,58.2,8.3,0.01
2021-11-15,45.6,26.3,26.3,47.5,10.8,0.0
2021-11-16,45.7,29.6,29.6,54.1,5.2,0.0
2021-11-17,50.3,40.7,40.7,70.8,4.6,0.0
2021-11-18,60.6,45.7,45.7,60.0,12.4,0.0
2021-11-19,44.1,22.0,22.0,42.0,14.4,0.06
2021-11-20,41.0,26.8,26.8,58.0,5.0,0.0
2021-11-21,46.3,36.6,36.6,70.2,6.3,0.0
2021-11-22,47.4,33.8,33.8,61.3,10.7,0.06
2021-11-23,38.6,16.8,16.8,41.8,12.0,0.01
2021-11-24,40.0,20.4,20.4,46.5,5.0,0.0
2021-11-25,44.9,29.4,29.4,56.3,5.1,0.0
2021-11-26,43.3,27.9,27.9,57.5,14.3,0.1
2021-11-27,39.2,18.7,18.7,44.0,10.6,0.0
2021-11-28,46.1,29.0,29.0,51.9,6.8,0.0
2021-11-29,41.8,22.2,22.2,46.2,11.6,0.0
2021-11-30,41.1,27.2,27.2,59.4,5.6,0.0
